2022-12-25/23:43:21		column len validation started
2022-12-25/23:43:22		error in column len validation : 'str' object has no attribute 'write'
2022-12-25/23:45:04		column len validation started
2022-12-25/23:45:05		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-25/23:45:05		column len succesfully validated and default files moved to bad directory
2022-12-25/23:46:35		column len validation started
2022-12-25/23:46:35		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-25/23:46:35		column len succesfully validated and default files moved to bad directory
2022-12-26/00:34:29		column len validation started
2022-12-26/00:34:30		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/00:34:30		column len succesfully validated and default files moved to bad directory
2022-12-26/01:04:19		column len validation started
2022-12-26/01:04:20		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:04:20		column len succesfully validated and default files moved to bad directory
2022-12-26/01:05:42		column len validation started
2022-12-26/01:05:43		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:05:43		column len succesfully validated and default files moved to bad directory
2022-12-26/01:10:46		column len validation started
2022-12-26/01:10:46		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:10:46		column len succesfully validated and default files moved to bad directory
2022-12-26/01:16:03		column len validation started
2022-12-26/01:16:03		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:16:03		column len succesfully validated and default files moved to bad directory
2022-12-26/01:18:06		column len validation started
2022-12-26/01:18:07		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:18:07		column len succesfully validated and default files moved to bad directory
2022-12-26/01:19:49		column len validation started
2022-12-26/01:19:50		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:19:50		column len succesfully validated and default files moved to bad directory
2022-12-26/01:25:33		column len validation started
2022-12-26/01:25:33		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:25:33		column len succesfully validated and default files moved to bad directory
2022-12-26/01:28:25		column len validation started
2022-12-26/01:28:26		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:28:26		column len succesfully validated and default files moved to bad directory
2022-12-26/01:43:41		column len validation started
2022-12-26/01:43:43		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:43:43		column len succesfully validated and default files moved to bad directory
2022-12-26/01:48:17		column len validation started
2022-12-26/01:48:17		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:48:17		column len succesfully validated and default files moved to bad directory
2022-12-26/01:48:55		column len validation started
2022-12-26/01:48:55		Invalid column length in csv file !! batch file transferred to bad dir :: visibility_08012019_120066.csv
2022-12-26/01:48:55		column len succesfully validated and default files moved to bad directory
2022-12-26/01:50:12		column len validation started
